"Gene"	"chromosome"	"start"	"end"	"gene_biotype"	"RealData"	"nRealBetter"
"NFATC3"	"chr16"	68118654	68263162	"protein_coding"	7	100
"TNRC6C"	"chr17"	76000249	76104916	"protein_coding"	7	100
"FKBP5"	"chr6"	35541362	35696360	"protein_coding"	7	100
"ARID1A"	"chr1"	27022524	27108595	"protein_coding"	7	100
"UBE2G1"	"chr17"	4172554	4269923	"protein_coding"	7	100
"RPTOR"	"chr17"	78518619	78940171	"protein_coding"	7	100
"GRB2"	"chr17"	73314157	73401790	"protein_coding"	7	100
"CBFB"	"chr16"	67063019	67134961	"protein_coding"	6	100
"DLG1"	"chr3"	196769431	197026171	"protein_coding"	6	100
"INPP4B"	"chr4"	142944313	143768585	"protein_coding"	6	100
"BACH2"	"chr6"	90636248	91006627	"protein_coding"	6	100
"ARHGEF6"	"chrX"	135747706	135864247	"protein_coding"	6	100
"NCOR1"	"chr17"	15932471	16121499	"protein_coding"	6	100
"RNF157"	"chr17"	74138534	74236454	"protein_coding"	6	100
"IKZF3"	"chr17"	37921198	38020441	"protein_coding"	6	100
"XPO6"	"chr16"	28109300	28223241	"protein_coding"	6	100
"KDM2A"	"chr11"	66886740	67025558	"protein_coding"	6	100
"STAT5B"	"chr17"	40351186	40428725	"protein_coding"	6	100
"SAMD4B"	"chr19"	39833036	39876350	"protein_coding"	6	100
"FNBP1"	"chr9"	132649466	132805473	"protein_coding"	6	100
"NF1"	"chr17"	29421945	29709134	"protein_coding"	6	100
"CREBBP"	"chr16"	3775055	3930727	"protein_coding"	5	100
"COX10"	"chr17"	13972813	14111994	"protein_coding"	5	100
"CAPN1"	"chr11"	64948037	64979477	"protein_coding"	5	100
"UBR2"	"chr6"	42531800	42661242	"protein_coding"	5	100
"RABEP1"	"chr17"	5185558	5289129	"protein_coding"	5	100
"WNK1"	"chr12"	861759	1020618	"protein_coding"	5	100
"MGAT4A"	"chr2"	99235569	99347589	"protein_coding"	5	100
"MARK2"	"chr11"	63606400	63678491	"protein_coding"	5	100
"EIF4G3"	"chr1"	21132963	21503377	"protein_coding"	5	94
"GNB1"	"chr1"	1716729	1822495	"protein_coding"	5	100
"CYLD"	"chr16"	50775961	50835846	"protein_coding"	5	100
"NCOA1"	"chr2"	24714783	24993571	"protein_coding"	5	100
"SF3B2"	"chr11"	65818200	65836779	"protein_coding"	5	100
"DIDO1"	"chr20"	61509090	61569304	"protein_coding"	5	100
"SPG11"	"chr15"	44854894	44955876	"protein_coding"	5	100
"DDX6"	"chr11"	118620034	118661858	"protein_coding"	5	100
"RAP1A"	"chr1"	112084840	112259313	"protein_coding"	5	100
"KMT2A"	"chr11"	118307205	118397539	"protein_coding"	5	100
"SLC44A2"	"chr19"	10713133	10755235	"protein_coding"	5	100
"DNMT1"	"chr19"	10244021	10341962	"protein_coding"	5	100
"UBE4B"	"chr1"	10092890	10241297	"protein_coding"	5	100
"RBM39"	"chr20"	34291531	34330234	"protein_coding"	5	100
"ANKHD1"	"chr5"	139781399	139929163	"protein_coding"	5	100
"TOP2A"	"chr17"	38544768	38574202	"protein_coding"	5	100
"PUM1"	"chr1"	31404353	31538838	"protein_coding"	5	100
"VPS45"	"chr1"	150039369	150117505	"protein_coding"	5	100
"IQGAP1"	"chr15"	90931450	91045475	"protein_coding"	5	100
"SKAP1"	"chr17"	46210802	46507637	"protein_coding"	5	97
"VAV1"	"chr19"	6772725	6857377	"protein_coding"	5	100
"SAE1"	"chr19"	47616531	47713886	"protein_coding"	5	100
"RERE"	"chr1"	8412457	8877702	"protein_coding"	5	97
"SNX27"	"chr1"	151584541	151671567	"protein_coding"	5	100
"SEC16A"	"chr9"	139334549	139372141	"protein_coding"	5	100
"RASA2"	"chr3"	141205889	141334184	"protein_coding"	5	100
"ADK"	"chr10"	75910960	76469061	"protein_coding"	5	100
"BRE"	"chr2"	28112808	28561768	"protein_coding"	5	99
